web-scraper-order,web-scraper-start-url,address,monthly_rent,unit_type,link-href,images-src
1680719488-2378,https://www.zillow.com/atlanta-ga/rentals/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A42.398867%2C%22east%22%3A-70.904137%2C%22south%22%3A33.618653%2C%22west%22%3A-84.671593%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22sort%22%3A%7B%22value%22%3A%22priorityscore%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A37211%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A44269%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A26529%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A5%7D,"Royal Gardens Apartments | 6236 5th Ave, Pittsburgh, PA","$1,449+ 1 bd","$1,570+ 2 bds$1,890+ 3 bds",https://www.zillow.com/b/royal-gardens-apartments-pittsburgh-pa-5Y2YQv/,https://photos.zillowstatic.com/fp/dd0af51287f449765b34b99398218bb5-cc_ft_960.jpg
1680719488-2379,https://www.zillow.com/atlanta-ga/rentals/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A42.398867%2C%22east%22%3A-70.904137%2C%22south%22%3A33.618653%2C%22west%22%3A-84.671593%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22sort%22%3A%7B%22value%22%3A%22priorityscore%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A37211%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A44269%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A26529%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A5%7D,"Royal Gardens Apartments | 6236 5th Ave, Pittsburgh, PA","$1,449+ 1 bd","$1,570+ 2 bds$1,890+ 3 bds",https://www.zillow.com/b/royal-gardens-apartments-pittsburgh-pa-5Y2YQv/,https://photos.zillowstatic.com/fp/b86e2cb7b776fd7969d8c5314619657c-cc_ft_960.jpg
1680719488-2380,https://www.zillow.com/atlanta-ga/rentals/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A42.398867%2C%22east%22%3A-70.904137%2C%22south%22%3A33.618653%2C%22west%22%3A-84.671593%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22sort%22%3A%7B%22value%22%3A%22priorityscore%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A37211%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A44269%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A26529%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A5%7D,"Royal Gardens Apartments | 6236 5th Ave, Pittsburgh, PA","$1,449+ 1 bd","$1,570+ 2 bds$1,890+ 3 bds",https://www.zillow.com/b/royal-gardens-apartments-pittsburgh-pa-5Y2YQv/,https://photos.zillowstatic.com/fp/113b80a6b154a96d184656da955de431-cc_ft_960.jpg
1680719488-2381,https://www.zillow.com/atlanta-ga/rentals/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A42.398867%2C%22east%22%3A-70.904137%2C%22south%22%3A33.618653%2C%22west%22%3A-84.671593%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22sort%22%3A%7B%22value%22%3A%22priorityscore%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A37211%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A44269%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A26529%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A5%7D,"Royal Gardens Apartments | 6236 5th Ave, Pittsburgh, PA","$1,449+ 1 bd","$1,570+ 2 bds$1,890+ 3 bds",https://www.zillow.com/b/royal-gardens-apartments-pittsburgh-pa-5Y2YQv/,https://photos.zillowstatic.com/fp/2071a241256e452c040ff17fcd2d8597-cc_ft_960.jpg
1680719488-2382,https://www.zillow.com/atlanta-ga/rentals/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A42.398867%2C%22east%22%3A-70.904137%2C%22south%22%3A33.618653%2C%22west%22%3A-84.671593%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22sort%22%3A%7B%22value%22%3A%22priorityscore%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A37211%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A44269%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A26529%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A5%7D,"Royal Gardens Apartments | 6236 5th Ave, Pittsburgh, PA","$1,449+ 1 bd","$1,570+ 2 bds$1,890+ 3 bds",https://www.zillow.com/b/royal-gardens-apartments-pittsburgh-pa-5Y2YQv/,https://photos.zillowstatic.com/fp/381b866327e3c18cd5f4281884805bcb-cc_ft_960.jpg
1680719492-2383,https://www.zillow.com/atlanta-ga/rentals/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A42.398867%2C%22east%22%3A-70.904137%2C%22south%22%3A33.618653%2C%22west%22%3A-84.671593%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22sort%22%3A%7B%22value%22%3A%22priorityscore%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A37211%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A44269%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A26529%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A5%7D,"743 @ Howell Mill Apartments | 743 Holmes St NW, Atlanta, GA","$1,100+ Studio","$1,200+ 1 bd$1,350+ 2 bds",https://www.zillow.com/b/743-%40-howell-mill-apartments-atlanta-ga-5XhtM9/,https://photos.zillowstatic.com/fp/1cb1d74f9524d8b2b6620caa30cafb29-cc_ft_960.jpg
1680719492-2384,https://www.zillow.com/atlanta-ga/rentals/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A42.398867%2C%22east%22%3A-70.904137%2C%22south%22%3A33.618653%2C%22west%22%3A-84.671593%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22sort%22%3A%7B%22value%22%3A%22priorityscore%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A37211%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A44269%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A26529%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A5%7D,"743 @ Howell Mill Apartments | 743 Holmes St NW, Atlanta, GA","$1,100+ Studio","$1,200+ 1 bd$1,350+ 2 bds",https://www.zillow.com/b/743-%40-howell-mill-apartments-atlanta-ga-5XhtM9/,https://photos.zillowstatic.com/fp/73c5749644c4a4f2d521715f96342fb5-cc_ft_960.jpg
1680719492-2385,https://www.zillow.com/atlanta-ga/rentals/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A42.398867%2C%22east%22%3A-70.904137%2C%22south%22%3A33.618653%2C%22west%22%3A-84.671593%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22sort%22%3A%7B%22value%22%3A%22priorityscore%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A37211%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A44269%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A26529%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A5%7D,"743 @ Howell Mill Apartments | 743 Holmes St NW, Atlanta, GA","$1,100+ Studio","$1,200+ 1 bd$1,350+ 2 bds",https://www.zillow.com/b/743-%40-howell-mill-apartments-atlanta-ga-5XhtM9/,https://photos.zillowstatic.com/fp/968c5306696b5ce16aca2c14feb81e72-cc_ft_960.jpg
1680719492-2386,https://www.zillow.com/atlanta-ga/rentals/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A42.398867%2C%22east%22%3A-70.904137%2C%22south%22%3A33.618653%2C%22west%22%3A-84.671593%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22sort%22%3A%7B%22value%22%3A%22priorityscore%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A37211%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A44269%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A26529%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A5%7D,"743 @ Howell Mill Apartments | 743 Holmes St NW, Atlanta, GA","$1,100+ Studio","$1,200+ 1 bd$1,350+ 2 bds",https://www.zillow.com/b/743-%40-howell-mill-apartments-atlanta-ga-5XhtM9/,https://photos.zillowstatic.com/fp/db168b97ca6d5ee772b7fc88c533752a-cc_ft_960.jpg
1680719492-2387,https://www.zillow.com/atlanta-ga/rentals/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A42.398867%2C%22east%22%3A-70.904137%2C%22south%22%3A33.618653%2C%22west%22%3A-84.671593%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%2C%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22sort%22%3A%7B%22value%22%3A%22priorityscore%22%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A37211%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A44269%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A26529%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A5%7D,"743 @ Howell Mill Apartments | 743 Holmes St NW, Atlanta, GA","$1,100+ Studio","$1,200+ 1 bd$1,350+ 2 bds",https://www.zillow.com/b/743-%40-howell-mill-apartments-atlanta-ga-5XhtM9/,https://photos.zillowstatic.com/fp/3b5672a6a4086a50e8f39fe3f44a4b80-cc_ft_960.jpg
