id,ScrapperOrder,Link,ApartmentName,Address,RentStudio,Rent1BD,Rent2BDS,Rent3BDS,Rent4BDS,Rent5BDS,Images
1,1680719488-2378,https://www.zillow.com/b/royal-gardens-apartments-pittsburgh-pa-5Y2YQv/,Royal Gardens Apartments ," 6236 5th Ave, Pittsburgh, PA",0,"1,449","1,570","1,890",0,0,"https://photos.zillowstatic.com/fp/dd0af51287f449765b34b99398218bb5-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/b86e2cb7b776fd7969d8c5314619657c-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/113b80a6b154a96d184656da955de431-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/2071a241256e452c040ff17fcd2d8597-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/381b866327e3c18cd5f4281884805bcb-cc_ft_960.jpg"
2,1680719492-2383,https://www.zillow.com/b/743-%40-howell-mill-apartments-atlanta-ga-5XhtM9/,743 @ Howell Mill Apartments ," 743 Holmes St NW, Atlanta, GA","1,100","1,200","1,350",0,0,0,"https://photos.zillowstatic.com/fp/1cb1d74f9524d8b2b6620caa30cafb29-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/73c5749644c4a4f2d521715f96342fb5-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/968c5306696b5ce16aca2c14feb81e72-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/db168b97ca6d5ee772b7fc88c533752a-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3b5672a6a4086a50e8f39fe3f44a4b80-cc_ft_960.jpg"
3,1680719495-2388,https://www.zillow.com/b/lebanon-vue-pittsburgh-pa-5fwmff/,Lebanon Vue ," 400 Cochran Rd, Pittsburgh, PA",0,"1,050","1,250","1,500",0,0,"https://photos.zillowstatic.com/fp/038263247e98c2829d92b7df71b985d5-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3393dafb1b2e85e377e9cb5c060b12ed-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3393dafb1b2e85e377e9cb5c060b12ed-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/06fd6f6d0f67a83e598575a5eccd0173-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/bef0717fcd16b0559e21b98351406247-cc_ft_960.jpg"
4,1680719499-2393,https://www.zillow.com/b/33ninety-apartments-atlanta-ga-5XhtrQ/,33Ninety Apartments ," 3390 Fairburn Rd SW, Atlanta, GA",0,960,"1,165","1,360",0,0,"https://photos.zillowstatic.com/fp/bd40cd5f7d227e3d2fd2fe7c58838d4c-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/e61c8c452c624f48a73ebe9fe50b0c17-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/107aaf4e618391fd1721b70ef217e1c7-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/0ad277ef63daed0f8a931161218c3a87-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/5d8334e882c9c32130d51929eca9d4e6-cc_ft_960.jpg"
5,1680719501-2398,https://www.zillow.com/b/hampton-hall-apartments-atlanta-ga-5XhtcV/,Hampton Hall Apartments ," 2217 Briarcliff Rd NE, Atlanta, GA",0,"1,200",0,"1,700",0,0,"https://photos.zillowstatic.com/fp/09af07640e747ce44382f22a89d8f9f5-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/55f3f597bec88f9ceda5041d439abeb2-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/0ae7039b8e2139247b606bf501d52f0b-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3bffee55e35bea380601436af7fc7250-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/d7e6a22712504103a18e451c63783d0e-cc_ft_960.jpg"
6,1680719504-2403,https://www.zillow.com/b/biltmore-at-midtown-atlanta-ga-5ZQbC9/,Biltmore at Midtown ," 855 W Peachtree St NW, Atlanta, GA","1,375","1,531","2,066",0,0,0,"https://photos.zillowstatic.com/fp/c11f69c6c781ad483577ce9ceea49b2d-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/2f51744a160c9c70f21b153e0d08d8f1-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/41ce63b460f237705924e53a7a2baf35-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3df061040cbee6ad265ed87ef8b019f8-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/794440b889fbcb0f679a941a90fc42e8-cc_ft_960.jpg"
7,1680719507-2408,https://www.zillow.com/b/phillips-ave-pittsburgh-pa-5fwm5k/,Phillips Ave ," 5623 Phillips Ave, Pittsburgh, PA",0,"1,095",0,0,0,0,"https://photos.zillowstatic.com/fp/bafb0446b96121006596636a57fcb924-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/2666c0d00667091338bba90cf72327e5-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3a32088c0f8419f3aafb98a4a58da562-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/ebd3033450b22a17a6fdc7f272ab8319-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/a5f142a0a4f33e5b365130b2d87fd883-cc_ft_960.jpg"
8,1680719509-2413,https://www.zillow.com/b/the-adrian-pittsburgh-pa-5YCDyT/,The Adrian ," 4629 Bayard St, Pittsburgh, PA",989,"1,195","1,699",0,0,0,"https://photos.zillowstatic.com/fp/999791dd6bceacc2d4db68e0be2e7e40-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/563bf16e873ead546b44e61b9821e982-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/542b1dfb940fdbf4c79035f76f2daae6-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/91897f2a4065aea1d65b3e9a190c69f5-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/c229fcc828525a05d8772dcca5aaea22-cc_ft_960.jpg"
9,1680719512-2418,https://www.zillow.com/b/glenrose-gardens-atlanta-ga-5j666g/,Glenrose Gardens ," 85 Mount Zion Rd SW, Atlanta, GA",0,"1,150","1,230","1,395",0,0,"https://photos.zillowstatic.com/fp/567c56ab7e90067f016cf3ebf6b1c136-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/fbda4f14b63501118f6729c95648bb3d-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3b0f83af0234da741256c84bfd17b510-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/a820ff471145db7554cede5282c59d74-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/73558591effd242f83f71d7df2d53e0f-cc_ft_960.jpg"
10,1680719516-2423,https://www.zillow.com/b/1824-defoor-atlanta-ga-65dz46/,1824 Defoor ," 1824 Defoor Ave NW, Atlanta, GA","1,836","1,753","2,041","3,183",0,0,"https://photos.zillowstatic.com/fp/4e18040d1bc45c061232aefc1fe16d46-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/3a5c996d61f930672765a4e95b6fce15-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/90d36c3513da81c2437ed9cfed70c0fd-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/5e9b999e930956c4ecf2fc6a2e48e6a9-cc_ft_960.jpg,https://photos.zillowstatic.com/fp/ab3b176245cbfd8ed4d69be810b901d0-cc_ft_960.jpg"
